window_id,train_start,train_end,test_start,test_end,sharpe,ann_return,ann_vol,max_drawdown,hist_var_95,hist_es_95,turnover,w_AAPL,w_ABT,w_BAC,w_CVX,w_GS,w_INTC,w_JNJ,w_JPM,w_KO,w_MCD,w_MSFT,w_PFE,w_PG,w_WMT,w_XOM
36,2014-01-08,2017-01-06,2017-01-09,2018-01-08,2.8744239782106664,0.35187260528609793,0.11545708209930085,-0.03253909440977924,0.01016120268737932,0.01500008956197872,0.9983176377423413,0.18595966615029763,1.9596954267675493e-17,0.0,2.2442984970449942e-17,0.0,0.007290024618884408,0.008357751469328371,0.16669140710595537,0.0,0.06039557165687042,0.5713055789986639,0.0,0.0,2.3960868011929648e-17,1.6357900277375048e-17
37,2014-04-09,2017-04-07,2017-04-10,2018-04-10,1.3418005526886194,0.2574706430351603,0.17697909166755854,-0.10832282018943062,0.016947218250202997,0.025412921471812566,0.9011314833111752,0.5717020651262873,8.673617379884035e-19,0.0,1.734723475976807e-17,1.734723475976807e-17,3.469446951953614e-17,0.0,0.03032063789590954,0.0,0.1252189143364683,0.27275838264133473,0.0,0.0,0.0,3.8163916471489756e-17
38,2014-07-10,2017-07-10,2017-07-11,2018-07-10,1.015797137730751,0.17564393465385983,0.1532234428081149,-0.10287260447020649,0.015772262076063134,0.02384969398348487,1.1454414756262754,0.0,1.5612511283791264e-17,1.734723475976807e-17,5.377642775528102e-17,0.0,6.418476861114186e-17,4.336808689942018e-17,0.26516814706788244,1.9081958235744878e-17,0.46309214297763285,0.27173970995448415,3.2959746043559335e-17,0.0,6.591949208711867e-17,7.979727989493313e-17
39,2014-10-08,2017-10-06,2017-10-09,2018-10-08,0.6230064220701964,0.12086208492953174,0.16189573870600857,-0.13798420279381768,0.016353355941936026,0.02407491121236958,0.6554545162920177,3.705799692756261e-17,6.353107901002252e-17,0.0,0.0,1.0194966844090006e-17,0.0,0.0,0.10524480591760553,1.7350582850090486e-17,0.7908194011236417,0.10393579295875256,0.0,3.448463655438798e-17,2.9879672464349245e-17,6.313104641210914e-17
40,2015-01-08,2018-01-08,2018-01-09,2019-01-09,0.25171696271321337,0.06562768740377897,0.18126584282588723,-0.12102618269374654,0.019252906958467715,0.02596790240038336,0.28605083971846024,7.700030909536769e-17,0.0,0.0,4.9044327919783e-17,4.45306291836233e-18,0.0,0.0,0.16342188123092935,1.243372137052675e-17,0.6477939812644118,0.18878413750465878,1.0589379989774279e-17,5.2701431947220487e-17,0.0,0.0
41,2015-04-10,2018-04-10,2018-04-11,2019-04-10,1.0545895040165574,0.21442661823160244,0.1843623679871261,-0.14171533260050606,0.02044903192196818,0.026889657275524694,0.8307098679526251,2.9042685194796545e-17,0.0,1.4432878659535742e-05,3.543922056058486e-17,7.853464198739002e-18,9.990817724850655e-18,0.0,0.09809301122234733,0.0,0.2977679172966814,0.6041246386023118,2.701634428343361e-17,0.0,2.2934970483620456e-17,7.121934290399842e-17
42,2015-07-10,2018-07-10,2018-07-11,2019-07-11,1.4042875154293133,0.31648090071517776,0.2111254977597991,-0.1443180005440094,0.02338356302368925,0.03002152049154449,0.3001737501874903,3.259990068420995e-17,0.0,9.243909336592682e-18,0.0,5.3799556602878536e-17,4.85722573273506e-17,0.0,3.603294543733167e-17,0.0,0.24578848630394312,0.7542115136960569,2.1302369861057236e-17,0.0,0.0,2.879875592050191e-17
43,2015-10-08,2018-10-08,2018-10-09,2019-10-09,0.6611016854027038,0.18995693076674475,0.2570813756929426,-0.2050548259117937,0.030708141262860415,0.03820341900974712,0.49157697260788635,0.1566031548002991,2.688821387764051e-17,0.0,9.540979117872439e-18,6.505213034913027e-17,0.0,8.239936510889834e-18,0.0615123324444878,3.469446951953614e-17,1.734723475976807e-18,0.7818845127552131,0.0,2.4882439858542327e-17,0.0,1.951563910473908e-17
44,2016-01-08,2019-01-09,2019-01-10,2020-01-09,2.2934137964663615,0.3429696479575028,0.14082484740377868,-0.05390933909189962,0.015548810714478277,0.020779192031562074,0.8537865010465053,0.0,0.10439689296308716,1.105154597868529e-17,0.0,9.550562987907092e-17,0.0,0.0,0.11729187575961032,0.0,0.26671681424504295,0.5115944170322597,0.0,0.0,6.938893903907228e-17,6.556194139414293e-17
45,2016-04-11,2019-04-10,2019-04-11,2020-04-09,0.24836103779626859,0.11752548134006092,0.39267625148240376,-0.3949153067474547,0.03817693236968816,0.06355958137870416,0.8539167483155252,0.0,0.1406039021720673,0.3907513649487822,2.7728575494420428e-17,0.0,3.656917719723265e-17,4.774859493775211e-17,6.591949208711867e-17,4.511129808583306e-18,1.5312996470717487e-17,0.4686447328791505,3.874481035962278e-17,1.9320336806855144e-17,0.0,0.0
46,2016-07-11,2019-07-11,2019-07-12,2020-07-10,0.8013037965553312,0.34731147782958366,0.4084736391165495,-0.3469474456484353,0.03885683693286363,0.06414818313067985,0.7436960465942846,5.905868659404551e-17,0.0,0.15950724382370737,3.6888016691407643e-17,4.04519283238932e-17,0.0,3.3029782699900324e-17,5.1981458159925164e-17,1.0608324736036691e-17,1.5216110756577958e-16,0.8404927561762926,1.162892975665509e-17,0.0,1.8362482615174744e-17,0.0
47,2016-10-07,2019-10-09,2019-10-10,2020-10-08,0.7433603872756819,0.30589124042608856,0.38459305245204406,-0.334982690077136,0.033058737513646484,0.05965636807381361,0.7260204250620906,0.0,0.0,9.249859321761042e-17,4.024645506482043e-17,2.5993718525048067e-17,5.975322775256179e-17,2.0605150173236507e-17,0.0,5.99651269665758e-17,0.3630102125310452,0.6369897874689547,8.194850337424138e-17,3.115843302185943e-17,0.0,8.820673029082858e-17
48,2017-01-09,2020-01-09,2020-01-10,2021-01-08,0.910629777999648,0.3941909833804199,0.41091450379311983,-0.31905968563290943,0.03890919786294042,0.06233008503026746,1.11934275701547,0.38313290816023027,0.17653847034750444,0.0,4.401860820291148e-17,1.0265531100953768e-16,0.0,0.0,1.951563910473908e-17,0.0,0.0,0.4403286214922653,1.951563910473908e-17,0.0,0.0,1.1121881410627865e-16
49,2017-04-10,2020-04-09,2020-04-13,2021-04-12,1.56427751842438,0.3736189176288189,0.22605893995086612,-0.1129372930349649,0.02154068053878065,0.031919937564536344,0.7662658163204609,0.0,0.20242149103128226,2.27633244165995e-17,0.0,4.6765456351867795e-17,3.0016773529934987e-17,0.0,0.0,1.4112864776099977e-16,0.0,0.6070334859814974,3.626831466555437e-17,0.0,0.19054502298722026,2.781060124287226e-17
50,2017-07-11,2020-07-10,2020-07-13,2021-07-12,0.987182941923718,0.2548720504727331,0.23792150419391175,-0.13609725807757495,0.024629031366197904,0.034415882849136145,0.49994839882328285,0.07523321740671307,1.1145598333150986e-16,0.0,1.734723475976807e-17,1.0408340855860843e-17,1.5959455978986625e-16,2.5370330836160804e-17,0.0,0.0,2.0816681711721685e-17,0.7817744679864256,0.0,0.0,0.14299231460686124,3.8163916471489756e-17
51,2017-10-09,2020-10-08,2020-10-09,2021-10-08,1.0059148328985428,0.21105167972601585,0.18992828563779315,-0.12008492651843274,0.021066726788818456,0.02656739836072558,0.8662445612820819,0.40056499420439706,0.0,3.7730235602495554e-17,3.044405819021406e-17,3.0174701712987195e-17,0.0,5.637851296924623e-18,0.0,2.1541741914571366e-17,3.903127820947816e-18,0.34865218734538495,1.929879867024198e-17,7.730361489821647e-17,0.250782818450218,1.7608544423996023e-17
52,2018-01-09,2021-01-08,2021-01-11,2022-01-07,1.4105044490302452,0.26934344223596274,0.1767760763782072,-0.11033556747340592,0.01936426592679348,0.023966485181765657,0.6106517973940614,0.4878690108698074,0.12227475655243192,0.0,0.0,2.7755575615628914e-17,3.122502256758253e-17,0.0,0.0,0.0,0.0,0.25547951623220444,1.0408340855860843e-17,0.09574712547918843,0.03862959086636784,0.0
53,2018-04-11,2021-04-12,2021-04-13,2022-04-08,0.9678897102319498,0.18534278697504514,0.1708281276386923,-0.15821095417982428,0.018266318533644195,0.021680056750816166,0.2986060856857233,0.3578162349968919,0.10302448958248578,0.0,0.0,1.4094628242311558e-17,3.5561831257524545e-17,0.0,0.0,1.734723475976807e-18,3.7947076036992655e-17,0.3120603320377265,0.0,0.16393256206808793,0.06316638131480792,7.806255641895632e-18
54,2018-07-11,2021-07-12,2021-07-13,2022-07-12,-0.1457739561505735,-0.011557781297742431,0.21648435789745235,-0.25637485865432047,0.023202936437526436,0.03134988200396835,0.20604897916497167,0.35976884592221403,0.0,1.734723475976807e-18,0.0,0.0,0.0,0.0,0.0,0.0,3.0357660829594124e-17,0.3180490412674784,0.0,0.23002814686047357,0.09215396594983409,0.0
55,2018-10-09,2021-10-08,2021-10-11,2022-10-10,-0.8040777901210303,-0.16878052493632484,0.23477893214180823,-0.2978565458616613,0.025369159152316967,0.033982837392249575,0.6909407218210286,0.1064524509615338,0.0,0.0,3.642919299551295e-17,8.673617379884035e-18,0.0,5.724587470723463e-17,0.0,2.3852447794681098e-17,2.2551405187698492e-17,0.513683779896314,0.0,0.37986376914215214,1.4094628242311558e-17,2.6020852139652106e-17
