date,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
2008-12-24,0.0,0.0,9.669233105852958e-17,0.0,3.473115395369478e-17,0.0,9.204167234392257e-17,0.0,0.0,0.1270602996578175,0.0,2.141620075509508e-17,2.9391608828435376e-16,0.8729397003421823,1.3436547883227828e-17
2008-12-26,9.406001195550455e-17,0.0,2.0997106923988964e-17,8.54709432341719e-17,5.184524749875332e-17,3.5077832044716044e-17,1.6207024688311725e-16,0.0,0.0,0.11640331763039341,0.0,6.8206273326434334e-18,1.3201390117652243e-16,0.8835966823696062,0.0
2008-12-29,0.0,1.1370604664385498e-16,0.0,6.05358241959382e-17,0.0,0.0,1.0174882891853572e-16,2.516029180460037e-18,0.0,0.09696714150081252,0.0,0.0,3.559573076831181e-17,0.9030328584991878,0.0
2008-12-30,0.0,0.0,6.83957470344073e-17,1.0328315433582457e-16,6.856947235324968e-17,8.453487087590577e-17,3.843584294183919e-17,5.2385193051087895e-18,3.1983434255507e-17,0.16935903091834986,5.244296401330177e-17,1.882405868439841e-17,0.0,0.83064096908165,3.680892702291256e-17
2008-12-31,4.026566326536952e-18,0.0,4.432622334093348e-17,4.389868477471343e-18,2.3428556961870713e-17,3.0368129279747565e-17,0.0,0.0,0.0,0.136860070535533,0.0,2.5867356491099623e-17,4.217078625849804e-18,0.863139929464467,2.9706248592927505e-17
2009-01-02,0.0,0.0,5.265228057722847e-17,4.548497901356231e-17,1.9359578748654318e-17,0.0,1.1761147639387845e-16,0.0,2.533186176867525e-17,0.12342546383524215,0.0,7.158068928929315e-17,1.0882133168745803e-17,0.8765745361647578,9.225525545762896e-18
2009-01-05,7.932002982909615e-17,0.0,0.0,1.5459556893055446e-16,0.0,6.220013586828701e-17,5.737511205725233e-17,1.55111882348952e-16,2.5816691234987047e-17,0.1569165512160113,1.1203536114530274e-16,2.0224119398876585e-18,0.0,0.8430834487839888,3.277003417355847e-17
2009-01-06,0.0,1.740938351599766e-16,7.275813548856388e-17,0.0,7.512319425828415e-18,1.7472102560335774e-17,0.0,0.0,0.0,0.11295184460637048,4.696400605571361e-17,0.0,0.0,0.8870481553936295,0.0
2009-01-07,1.1026865803786623e-17,1.3666035686629095e-16,0.0,5.76378525113198e-17,0.0,0.0,1.1150293352888392e-16,0.0,0.0,0.10541171678862271,0.0,4.127066580190406e-18,5.874213973010563e-17,0.8945882832113772,1.8885396762832226e-17
2009-01-08,0.0,0.0,4.8293241677174984e-18,0.0,0.0,0.0,3.2635008044368596e-17,0.0,5.0641582165910393e-17,0.46458602089083817,0.0,5.006337834835894e-17,0.0,0.5354139791091619,2.896479964635046e-17
