lambda,ann_return,ann_vol,sharpe,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
0.8,0.22756038442743398,0.2505367602098709,0.8284627939257994,0.6445939773496248,3.7947076036992655e-18,7.047314121155779e-18,3.0357660829594124e-18,3.54737398310101e-18,4.336808689942018e-18,5.908901840045999e-18,1.463672932855431e-18,2.8189256484623115e-18,0.35540602265037524,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18
0.8200000000000001,0.22756038442743398,0.2505367602098709,0.8284627939257994,0.6445939773496248,3.7947076036992655e-18,7.047314121155779e-18,3.0357660829594124e-18,3.54737398310101e-18,4.336808689942018e-18,5.908901840045999e-18,1.463672932855431e-18,2.8189256484623115e-18,0.35540602265037524,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18
0.84,0.22756038442743398,0.2505367602098709,0.8284627939257994,0.6445939773496248,3.7947076036992655e-18,7.047314121155779e-18,3.0357660829594124e-18,3.54737398310101e-18,4.336808689942018e-18,5.908901840045999e-18,1.463672932855431e-18,2.8189256484623115e-18,0.35540602265037524,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18,5.204170427930421e-18
0.86,0.2356932157590247,0.2633557700052286,0.8190183783436397,0.7084552465194968,0.0,0.0,2.2768245622195593e-18,0.0,0.0,0.0,0.0,0.0,0.2915447534805031,0.0,0.0,0.0,0.0,4.336808689942018e-19
0.88,0.2356932157590247,0.2633557700052286,0.8190183783436397,0.7084552465194968,0.0,0.0,2.2768245622195593e-18,0.0,0.0,0.0,0.0,0.0,0.2915447534805031,0.0,0.0,0.0,0.0,4.336808689942018e-19
0.9,0.2356932157590247,0.2633557700052286,0.8190183783436397,0.7084552465194968,0.0,0.0,2.2768245622195593e-18,0.0,0.0,0.0,0.0,0.0,0.2915447534805031,0.0,0.0,0.0,0.0,4.336808689942018e-19
0.92,0.2356932157590247,0.2633557700052286,0.8190183783436397,0.7084552465194968,0.0,0.0,2.2768245622195593e-18,0.0,0.0,0.0,0.0,0.0,0.2915447534805031,0.0,0.0,0.0,0.0,4.336808689942018e-19
0.9400000000000001,0.2356932157590247,0.2633557700052286,0.8190183783436397,0.7084552465194968,0.0,0.0,2.2768245622195593e-18,0.0,0.0,0.0,0.0,0.0,0.2915447534805031,0.0,0.0,0.0,0.0,4.336808689942018e-19
0.96,0.24382604709061542,0.2770507861508326,0.8078881497487278,0.7723165156893687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22768348431063135,0.0,0.0,0.0,0.0,0.0
0.98,0.24382604709061542,0.2770507861508326,0.8078881497487278,0.7723165156893687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22768348431063135,0.0,0.0,0.0,0.0,0.0
1.0,0.24382604709061542,0.2770507861508326,0.8078881497487278,0.7723165156893687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22768348431063135,0.0,0.0,0.0,0.0,0.0
